project_id,project_type,client_type,contract_type,is_design_and_build,nilai_kontrak_awal_miliar_rp,total_jam_kerja_estimasi,volume_pekerjaan_tanah_m3,volume_beton_m3,berat_baja_struktural_ton,panjang_instalasi_utama_km,jumlah_titik_akhir_instalasi,jumlah_item_pekerjaan_utama,tingkat_risiko_geoteknik,lokasi_provinsi,lokasi_urban_rural,musim_pelaksanaan,indeks_harga_komoditas_saat_mulai,jumlah_kompetitor_saat_tender,pengalaman_pm_tahun,jumlah_sdm_inti,persentase_subkontraktor,biaya_akhir_riil_miliar_rp,durasi_akhir_riil_hari,profit_margin_riil_persen,terjadi_pembengkakan_biaya_signifikan,terjadi_keterlambatan_signifikan
PJ-172,Gedung Perkantoran,BUMN,Lump Sum,0,175.39,526163,0,17538,3507,0.0,3507,104,3,Riau,Rural,Hujan,112.56,5,16,29,61,156.6,3934,10.71,0,1
PJ-173,Perumahan,Pemda,Lump Sum,1,55.61,222435,27804,13902,0,0.0,1390,17,3,Sulawesi Selatan,Sub-urban,Kemarau,111.12,6,7,13,59,49.65,2916,10.71,0,0
PJ-174,Jaringan IT,Swasta Nasional,Lump Sum,1,21.18,105881,0,0,0,31.76,1058,21,3,Sulawesi Tenggara,Sub-urban,Hujan,111.42,4,3,6,27,18.91,3008,10.71,0,0
PJ-175,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,103.05,309137,0,10304,2060,0.0,2060,33,3,Jambi,Rural,Hujan,105.87,3,18,19,11,92.01,2773,10.71,0,0
PJ-176,Gedung Perkantoran,Pemda,Lump Sum,0,181.74,545209,0,18173,3634,0.0,3634,89,2,Nusa Tenggara Timur,Rural,Kemarau,106.52,8,9,31,56,162.26,2997,10.71,0,0
PJ-177,Gedung Perkantoran,Swasta Nasional,Cost Plus,0,268.47,805421,0,26847,5369,0.0,5369,145,3,Aceh,Sub-urban,Kemarau,106.84,9,4,42,73,290.81,3966,-8.32,1,1
PJ-178,Jaringan IT,Pemda,Harga Satuan,0,27.32,136622,0,0,0,40.99,1366,20,2,Sumatera Selatan,Urban,Kemarau,100.13,5,7,9,53,24.4,2587,10.71,0,0
PJ-179,Perumahan,Swasta Nasional,Lump Sum,0,55.09,220357,27544,13772,0,0.0,1377,34,2,Sulawesi Tengah,Sub-urban,Hujan,113.77,4,5,14,78,60.03,3512,-8.97,1,1
PJ-180,Jembatan,Pemda,Lump Sum,1,1646.06,3292115,4938172,329211,16460,41.15,0,808,2,Jawa Tengah,Sub-urban,Hujan,105.47,7,19,165,20,1469.69,3400,10.71,0,0
PJ-181,Perumahan,BUMN,Lump Sum,0,97.5,390006,48750,24375,0,0.0,2437,63,1,Riau,Sub-urban,Hujan,113.64,3,23,20,67,117.4,3323,-20.41,1,0
PJ-182,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,162.73,488194,0,16273,3254,0.0,3254,99,3,Kepulauan Riau,Rural,Hujan,102.64,8,7,27,57,145.3,3524,10.71,0,1
PJ-183,Jaringan IT,Swasta Nasional,Cost Plus,0,42.46,212275,0,0,0,63.68,2122,35,3,Nusa Tenggara Timur,Rural,Kemarau,110.62,5,6,13,28,41.89,3199,1.32,1,1
PJ-184,Jembatan,BUMN,Lump Sum,0,2596.76,5193522,7790283,519352,25967,64.92,0,1282,4,Papua,Urban,Hujan,105.74,9,6,262,51,2318.54,3739,10.71,0,1
PJ-185,Jaringan IT,BUMN,Cost Plus,0,90.74,453718,0,0,0,136.12,4537,53,3,Kalimantan Utara,Urban,Kemarau,118.56,5,6,23,61,103.6,4023,-14.16,1,1
PJ-186,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,234.55,703651,0,23455,4691,0.0,4691,110,2,Kalimantan Tengah,Sub-urban,Hujan,119.2,5,19,36,34,209.42,3331,10.71,0,0
PJ-187,Jaringan IT,Swasta Asing,Cost Plus,0,92.82,464117,0,0,0,139.24,4641,52,2,Papua Barat,Sub-urban,Hujan,118.08,5,13,27,28,82.88,3270,10.71,0,1
PJ-188,Jembatan,Swasta Nasional,Lump Sum,0,1362.7,2725408,4088112,272540,13627,34.07,0,661,3,Lampung,Sub-urban,Hujan,100.97,3,12,137,78,1563.7,4017,-14.75,1,1
PJ-189,Pabrik,BUMN,Lump Sum,1,562.45,1406127,0,84367,22498,0.0,0,274,2,Papua Barat Daya,Rural,Hujan,106.67,6,3,72,32,502.19,3725,10.71,0,1
PJ-190,Jaringan IT,Swasta Asing,Cost Plus,0,49.26,246296,0,0,0,73.89,2462,39,1,Kepulauan Bangka Belitung,Rural,Kemarau,101.24,7,22,15,50,43.98,2798,10.71,0,0
PJ-191,Gedung Perkantoran,Pemda,Lump Sum,1,279.88,839651,0,27988,5597,0.0,5597,148,3,Kalimantan Barat,Urban,Hujan,102.66,9,17,43,61,249.9,3328,10.71,0,0
PJ-192,Perumahan,BUMN,Harga Satuan,0,210.49,841976,105247,52623,0,0.0,5262,114,3,Bengkulu,Rural,Hujan,108.14,4,21,43,78,214.74,3735,-2.02,1,1
PJ-193,Jaringan IT,Swasta Nasional,Lump Sum,1,46.06,230318,0,0,0,69.1,2303,22,3,Maluku Utara,Rural,Kemarau,119.27,5,3,14,51,41.13,2804,10.71,0,0
PJ-194,Jaringan IT,Pemda,Harga Satuan,0,82.76,413780,0,0,0,124.13,4137,29,3,Sulawesi Tenggara,Rural,Hujan,113.89,8,5,24,11,73.89,2938,10.71,0,0
PJ-195,Jembatan,Pemda,Lump Sum,1,2437.14,4874279,7311418,487427,24371,60.93,0,1221,2,Nusa Tenggara Timur,Urban,Hujan,113.85,9,13,246,67,2176.02,3377,10.71,0,0
PJ-196,Jaringan IT,BUMN,Cost Plus,0,41.31,206531,0,0,0,61.96,2065,26,2,Maluku Utara,Sub-urban,Hujan,102.46,6,14,14,26,36.88,2514,10.71,0,0
PJ-197,Jalan Tol,Swasta Nasional,Cost Plus,0,1649.19,3298384,4947576,329838,16491,41.23,0,826,2,Papua Barat Daya,Rural,Hujan,116.8,2,20,166,64,1472.49,4311,10.71,0,1
PJ-198,Jaringan IT,Swasta Nasional,Cost Plus,0,80.78,403913,0,0,0,121.17,4039,56,1,Sulawesi Utara,Sub-urban,Kemarau,104.04,2,16,23,24,72.13,2993,10.71,0,0
PJ-199,Gedung Perkantoran,BUMN,Harga Satuan,0,176.71,530125,0,17670,3534,0.0,3534,100,3,Kalimantan Tengah,Sub-urban,Hujan,118.07,7,14,28,18,157.78,3763,10.71,0,1
PJ-200,Jaringan IT,Swasta Nasional,Cost Plus,0,60.65,303255,0,0,0,90.98,3032,19,3,Jawa Timur,Rural,Hujan,111.31,3,3,16,16,54.15,3230,10.71,0,0
PJ-201,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,92.75,278260,0,9275,1855,0.0,1855,46,1,Papua Barat Daya,Sub-urban,Hujan,118.08,5,5,15,42,82.82,3929,10.71,0,1
PJ-202,Jaringan IT,Swasta Asing,Cost Plus,0,34.56,172813,0,0,0,51.84,1728,30,2,Nusa Tenggara Timur,Urban,Hujan,117.55,3,24,12,58,35.37,2454,-2.32,1,0
PJ-203,Jalan Tol,Pemda,Lump Sum,0,831.06,1662126,2493190,166212,8310,20.78,0,412,5,Kalimantan Barat,Rural,Kemarau,115.18,5,17,85,58,988.67,4306,-18.96,1,1
PJ-204,Gedung Perkantoran,Pemda,Cost Plus,0,111.22,333658,0,11121,2224,0.0,2224,40,3,Sulawesi Tengah,Sub-urban,Hujan,106.81,4,6,17,53,131.23,3345,-17.99,1,0
PJ-205,Jalan Tol,Pemda,Lump Sum,1,1194.68,2389368,3584053,238936,11946,29.87,0,579,2,Kepulauan Bangka Belitung,Sub-urban,Hujan,107.37,6,19,121,71,1066.68,3365,10.71,0,0
PJ-206,Jaringan IT,BUMN,Cost Plus,0,27.52,137624,0,0,0,41.29,1376,10,3,Bengkulu,Sub-urban,Hujan,104.76,2,3,9,67,29.03,2980,-5.47,1,1
PJ-207,Gedung Perkantoran,Pemda,Harga Satuan,0,221.93,665777,0,22192,4438,0.0,4438,121,2,Jawa Barat,Sub-urban,Hujan,100.76,3,12,34,20,198.15,4110,10.71,0,1
PJ-208,Jaringan IT,Pemda,Lump Sum,1,13.9,69475,0,0,0,20.84,694,2,3,Maluku Utara,Rural,Kemarau,107.68,8,10,5,72,16.72,2368,-20.3,1,0
PJ-209,Jembatan,BUMN,Harga Satuan,0,1650.97,3301936,4952904,330193,16509,41.27,0,815,3,Sulawesi Tenggara,Urban,Hujan,104.47,6,13,166,52,1474.08,4182,10.71,0,1
PJ-210,Jaringan IT,Swasta Asing,Cost Plus,0,97.39,486942,0,0,0,146.08,4869,52,1,Jawa Timur,Sub-urban,Hujan,115.5,8,7,25,68,116.64,3320,-19.76,1,0
PJ-211,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,66.29,198864,0,6628,1325,0.0,1325,46,3,Papua Barat Daya,Urban,Kemarau,101.4,2,4,10,12,78.6,3389,-18.57,1,0
PJ-212,Jaringan IT,Swasta Nasional,Lump Sum,0,55.6,278018,0,0,0,83.41,2780,15,3,Aceh,Rural,Kemarau,113.63,5,15,14,29,49.65,3384,10.71,0,0
PJ-213,Perumahan,Pemda,Harga Satuan,0,143.1,572417,71552,35776,0,0.0,3577,76,1,Jawa Timur,Urban,Kemarau,110.0,6,8,32,14,127.77,3049,10.71,0,0
PJ-214,Jalan Tol,Swasta Asing,Harga Satuan,0,1113.8,2227590,3341385,222759,11137,27.84,0,558,2,Kalimantan Selatan,Urban,Hujan,117.34,7,6,113,71,1288.88,4161,-15.72,1,1
PJ-215,Gedung Perkantoran,Swasta Asing,Lump Sum,0,88.01,264019,0,8800,1760,0.0,1760,45,2,Maluku,Rural,Kemarau,102.37,9,7,15,67,78.58,3000,10.71,0,0
PJ-216,Jaringan IT,Pemda,Harga Satuan,0,42.71,213526,0,0,0,64.06,2135,27,1,Jambi,Rural,Hujan,103.1,7,6,12,64,47.37,3494,-10.92,1,1
PJ-217,Jalan Tol,BUMN,Lump Sum,1,1534.32,3068638,4602957,306863,15343,38.36,0,781,2,Sumatera Selatan,Sub-urban,Kemarau,110.87,6,13,157,50,1369.93,3331,10.71,0,0
PJ-218,Jalan Tol,Pemda,Cost Plus,0,1282.73,2565468,3848202,256546,12827,32.07,0,630,4,Papua Tengah,Rural,Kemarau,100.24,6,15,131,49,1145.3,4572,10.71,0,1
PJ-219,Perumahan,Swasta Nasional,Cost Plus,0,117.83,471323,58915,29457,0,0.0,2945,44,2,Kalimantan Utara,Rural,Kemarau,109.31,4,6,27,34,105.21,3610,10.71,0,1
PJ-220,Gedung Perkantoran,Swasta Nasional,Harga Satuan,0,204.92,614754,0,20491,4098,0.0,4098,114,1,Lampung,Sub-urban,Kemarau,107.29,4,9,32,67,182.96,3274,10.71,0,0
PJ-221,Jaringan IT,Swasta Asing,Lump Sum,0,81.73,408635,0,0,0,122.59,4086,38,2,Kalimantan Tengah,Rural,Hujan,119.62,3,7,21,67,83.6,4247,-2.29,1,1
PJ-222,Jaringan IT,Swasta Asing,Lump Sum,1,71.66,358312,0,0,0,107.49,3583,44,2,Kalimantan Barat,Sub-urban,Kemarau,101.66,9,16,21,22,63.98,2908,10.71,0,0
PJ-223,Jaringan IT,Swasta Nasional,Cost Plus,0,30.47,152336,0,0,0,45.7,1523,15,2,Aceh,Sub-urban,Hujan,105.32,5,8,10,59,27.2,2596,10.71,0,0
PJ-224,Jembatan,Pemda,Cost Plus,0,749.03,1498063,2247095,149806,7490,18.73,0,365,1,Maluku,Sub-urban,Hujan,104.94,9,21,75,77,668.78,3404,10.71,0,0
PJ-225,Gedung Perkantoran,Swasta Nasional,Lump Sum,1,189.16,567485,0,18916,3783,0.0,3783,80,1,Kalimantan Timur,Sub-urban,Hujan,100.16,8,20,30,75,168.89,4507,10.71,0,1
PJ-226,Perumahan,Pemda,Harga Satuan,0,45.11,180435,22554,11277,0,0.0,1127,10,2,Maluku,Sub-urban,Hujan,117.8,9,16,12,12,46.9,2563,-3.96,1,0
PJ-227,Gedung Perkantoran,BUMN,Lump Sum,0,195.74,587224,0,19574,3914,0.0,3914,83,2,Kalimantan Utara,Sub-urban,Hujan,119.78,5,18,30,28,174.77,4631,10.71,0,1
